ORACODE,DESCRIPTION,CAUSE,ACTION
ORA-38900,"missing mandatory column 'string' of error log table 'string'","Mandatory column of error logging table is not present","Add the named column to the error logging table. Consult ORACLE documentation for the correct data type."
ORA-38901,"column 'string' of table 'string' must be one of the first 'string' columns","Mandatory information column of error logging table is present, but must be at the beginning of the row.","Create the error logging table correctly. Consult ORACLE documentation for the correct format of an error logging table."
ORA-38902,"errors in array DML exceed string","The operation failed because the array DML had more errors than can be stored internally for BATCH ERRORs.","Do not use BATCH ERROR mode when array DML has more error rows than the number specified in the error."
ORA-38903,"DML error logging is not supported for abstract column 'string'","A DML Error Logging operation was attempted on a table which has an ADT, REF, VARRAY, or nested table column type, and the error logging table referred to the specified column.","Either do not use DML Error Logging on such a table or remove the offending column from the error logging table. The scalar columns can be logged, but not abstract column types."
ORA-38904,"DML error logging is not supported for LOB column 'string'","A DML Error Logging operation was attempted on a table which has a CLOB, NCLOB, or BLOB column type, and the error logging table referred to the specified column.","Either do not use DML Error Logging on such table or remove the offending column from the error logging table. The scalar columns can be logged, but not LOB column types."
ORA-38905,"DML error logging is not supported for LONG column 'string'","A DML Error Logging operation was attempted on a table which has a LONG, or LONG RAW column type, and the error logging table referred to the specified column.","Either do not use DML Error Logging on such a table or remove the offending column from the error logging table. The scalar columns can be logged, but not long column types."
ORA-38906,"insert into DML Error Logging table 'string' failed","An error occurred when attempting to log a DML Error on behalf of the DML Error logging clause. This may be intended if a trigger is defined on the error table (which in turn errors out in certain cases).","Determine root cause of error (in error stack)."
ORA-38907,"DML error logging is not supported for FILE column 'string'","A DML Error Logging operation was attempted on a table which has a BFILE column and the Error Logging table referred to the specified column.","Either don't use DML Error Logging on such table or remove the offending column from the error logging table. The scalar columns can be logged, but not BFILE column types."
ORA-38908,"internal error occurred during DML Error Logging","An unexpected error occurred while executing recursive SQL to insert a row into the DML Error Logging table.","Report this error to Oracle Support."
ORA-38909,"DML Error logging is not supported with BATCH ERROR mode","A DML Error Logging operation was attempted on a table which has BATCH ERROR mode also specified.","Refrain from using both DML Error Logging and BATCH ERROR mode on the same table."
ORA-38910,"BATCH ERROR mode is not supported for this operation","BATCH ERROR mode specified for this operation.","Refrain from using BATCH ERROR mode with this operation."
ORA-38911,"unique constraint (string.string) violated","An INSERT statement with a CHANGE_DUPKEY_ERROR_INDEX hint tried to insert a duplicate key into a table.","Either remove the unique restriction or do not insert the key."
ORA-38912,"An index must be specified in the index hint","Index specification was missing in an IGNORE_ROW_ON_DUPKEY_ INDEX or CHANGE_DUPKEY_ERROR_INDEX hint.","In the hint, specify a unique index that exists on the table."
ORA-38913,"Index specified in the index hint is invalid","The index specified in an IGNORE_ROW_ON_DUPKEY_INDEX or CHANGE_DUPKEY_ERROR_INDEX hint could not be found.","Specify a unique index that exists on the table. The index cannot be a non-unique index or a bitmap index."
ORA-38914,"Either mutate the error or ignore row on unique violation","IGNORE_ROW_ON_DUPKEY_INDEX and CHANGE_DUPKEY_ ERROR_INDEX were both specified in the same statement.","You cannot specify both hints in the same statement. Remove one of these two hints, or both, from the statement."
ORA-38915,"Multiple indexes in change or ignore duplicate key hint","Multiple indexes were specified in an IGNORE_ROW_ON_DUPKEY_ INDEX or CHANGE_DUPKEY_ERROR_INDEX hint.","Only one index must be specified in the hint."
ORA-38916,"CHANGE_DUPKEY_ERROR_INDEX hint disallowed for this operation","CHANGE_DUPKEY_ERROR_INDEX hint was specified for the operation.","You cannot specify this hint for this operation. Remove the hint from the statement."
ORA-38917,"IGNORE_ROW_ON_DUPKEY_INDEX hint disallowed for this operation","IGNORE_ROW_ON_DUPKEY_INDEX hint was specified for the operation.","You cannot specify this hint for this operation. Remove the hint from the statement."
ORA-38918,"RETRY_ON_ROW_CHANGE hint disallowed for this operation","RETRY_ON_ROW_CHANGE hint was specified for the operation.","You cannot specify this hint for this operation. Remove the hint from the statement."
ORA-38919,"remote table not supported for DML error logging","A remote table was specified in the DML error logging clause.","You cannot specify a remote table to which errors will be logged. Specify a local table only."
ORA-38950,"Source platform string not cross platform compliant","Cross platform transport was not allowed for this platform.","For a list of supported platforms, query fixed view SYS.V$TRANSPORTABLE_PLATFORM."
ORA-38951,"Target platform string not cross platform compliant","Cross platform transport was not allowed for this platform.","None"
ORA-38952,"Source database not 10.0.0.0 compatible","Cross platform transport is not supported unless database compatibility is advanced to 10.0.0.0 or higher","Use the compatible parameter to advance source database compatibility and redo the transport"
ORA-38954,"Cross platform transport is not supported between source platform identifier string and target platform identifier string","The platform identifier in the transported file indicated that the datafile format was different than the target database datafile format.","For a list of supported platforms, query fixed view SYS.V$TRANSPORTABLE_PLATFORM. If both platforms are present, Contact Oracle support"
ORA-38955,"Source platform string not cross platform compliant","The platform identifier in the transported file indicated that this platform is not supported for a cross platform transport.","For a list of supported platforms, query fixed view SYS.V$TRANSPORTABLE_PLATFORM."
ORA-38956,"Target platform string not cross platform compliant","Cross platform transport was not allowed for this platform.","For a list of supported platforms, query fixed view SYS.V$TRANSPORTABLE_PLATFORM."
ORA-38958,"Source platform string is in different byte order than target platform string","Probably a conversion was not done before the import phase of the transport.","Use RMAN CONVERT functionality to convert endian ordering."
ORA-38959,"Failed to update block 0 to new version 10 format","An attempt was made to update block 0 to version 10 format.","check additional error messages and contact Oracle Support Services."
ORA-38960,"File string from platform string is not compatible with current platform string","The file was directly copied to this platform from a platform with a different endian ordering.","Use RMAN CONVERT functionality to convert endian ordering."
ORA-38961,"data file: string","Reporting file name for details of another error.","See associated error message."
ORA-39000,"bad dump file specification","The user specified a dump file that could not be used in the current job. Subsequent error messages describe the inadequacies of the dump file.","Specify a dump file that is usable for the job."
ORA-39001,"invalid argument value","The user specified API parameters were of the wrong type or value range. Subsequent messages supplied by DBMS_DATAPUMP.GET_STATUS will further describe the error.","Correct the bad argument and retry the API."
ORA-39002,"invalid operation","The current API cannot be executed because of inconsistencies between the API and the current definition of the job. Subsequent messages supplied by DBMS_DATAPUMP.GET_STATUS will further describe the error.","Modify the API call to be consistent with the current job or redefine the job in a manner that will support the specified API."
ORA-39003,"unable to get count of total workers alive","Attempt to get count of total worker processes alive failed.","Check the additional error messages to see what caused the failure. Correct the error, if possible, and try the operation again. If this error occurs from a Data Pump client (e.g. expdp or impdp), try the operation again. If the error occurs again, contact Oracle Customer Support and report the error."
ORA-39004,"invalid state","The state of the job precludes the execution of the API.","Rerun the job to specify the API when the job is an appropriate state."
ORA-39005,"inconsistent arguments","The current API cannot be executed because of inconsistencies between arguments of the API call. Subsequent messages supplied by DBMS_ DATAPUMP.GET_STATUS will further describe the error.","Modify the API call to be consistent with itself."
ORA-39006,"internal error","An unexpected error occurred while processing a Data Pump job. Subsequent messages supplied by DBMS_DATAPUMP.GET_STATUS will further describe the error.","Contact Oracle Customer Support."
ORA-39012,"Client detached before the job started.","The client detached or ended their session before the Data Pump job was started.","Create new job and remain attached to the job until it is started."
ORA-39013,"Remapping the SYSTEM schema is not supported.","A remap_schema transform with the SYSTEM schema was specified.","Retry the import command without remapping the SYSTEM schema."
ORA-39014,"One or more workers have prematurely exited.","One or more of the worker processes exited before the job was completed. With no workers, the master process will terminate the job.","Rerun the job. If problem persists, contact Oracle Customer Support."
ORA-39015,"job is not running","An API was executed that required the job to be running, but the job was not active.","Retry the API. If problem persists, contact Oracle Customer Support."
ORA-39016,"Operation not supported when job is in string state.","The state of the job precludes the execution of the API.","Rerun the job to specify the API when the job is an appropriate state."
ORA-39017,"Worker request not supported when job is in string state.","The state of the job precludes the execution of a worker request. This is an internal error.","Contact Oracle Customer Support."
ORA-39018,"master process received invalid message number string","Internal Error","Contact Oracle Customer Support."
ORA-39019,"invalid operation type string","User specified an invalid operation name on an DBMS_ DATAPUMP.OPEN API or an invalid operation name was specified in the master table for a restart API.","Correct the operation name and recreate the job."
ORA-39020,"invalid mode type string","User specified an invalid mode on an DBMS_DATAPUMP.OPEN API or an invalid mode was specified in the master table for a restart API.","Correct the mode and recreate the job."
ORA-39021,"Database compatibility version string is not supported.","User selected COMPATIBLE as the version on an DBMS_ DATAPUMP.OPEN API, but the current database compatibility version is not supported by the Data Pump API. Database versions before 9.2 are not supported by the Data Pump.","Specify a supported version and recreate the job."
ORA-39022,"Database version string is not supported.","User selected LATEST as the version on an DBMS_DATAPUMP.OPEN API, but the current database version is not supported by the Data Pump API. Database versions before 9.2 are not supported by the Data Pump.","Specify a supported version and recreate the job."
ORA-39023,"Version string is not supported.","User specified an explicit version on an DBMS_DATAPUMP.OPEN API, but the current database version is not supported by the Data Pump API. Database versions before 9.2 are not supported by the Data Pump.","Specify a supported version and recreate the job."
ORA-39024,"wrong schema specified for job","Internal error caused by the master process finding inconsistencies between the schemas specified for the job.","Contact Oracle Customer Support."
ORA-39025,"jobs of type string are not restartable","Attempt to restart a job which was not restartable.","Recreate the job via the open API."
ORA-39026,"master table is inconsistent on validation string","Job cannot be restarted because it failed a validation check. Validation checks are of the form -xx.y where -xx is the value of the PROCESS_ORDER column in the master table where the error was detected and y is the actual validity check for the row.","Recreate the job. If master table has not been modified, but problem persists, contact Oracle Customer Support."
ORA-39027,"wrong version of master table","Job cannot be restarted because the version of the database upon which the job started is different than the current version of the database and the format of the master table has changed between the versions.","Recreate the job."
ORA-39028,"cannot restart job from string state","The job was not in a suitable state for restart. Jobs must begin executing before they can be restarted.","Recreate the job."
ORA-39029,"worker string with process name 'string' prematurely terminated","The specified worker process terminated unexpectedly. Subsequent messages describe the reason for the termination.","In many cases, the Data Pump will attempt to automatically restart the worker. If problem persists, contact Oracle Customer Support."
ORA-39030,"invalid file type string","An invalid filetype was specified for an DBMS_DATAPUMP.ADD_FILE API call.","Correct the filetype parameter and reissue the API request."
ORA-39031,"invalid filter name string","An invalid filter name was specified on a DBMS_DATAPUMP.DATA_ FILTER API call.","Correct the filter name parameter and reissue the API request."
ORA-39032,"Parameter string is not supported in string jobs.","The specified parameter was not supported for the specified class of jobs.","Re-create the job with the appropriate mode or operation type."
ORA-39033,"Data cannot be filtered under the direct path access method.","The user specified that the data access method for the job was direct which precludes the use of certain data filters.","Use the SUBQUERY or the SAMPLE data filter with the automatic data access method."
ORA-39034,"Table string does not exist.","The user referenced a table in an API that did not exist.","Correct table name and retry API."
ORA-39035,"Data filter string has already been specified.","The user has already specified a data filter that matches on the filter name, schema name, and table.","Specify a different data filter."
ORA-39036,"invalid metadata filter name string","An invalid metadata filter name was specified on a DBMS_ DATAPUMP.METADATA_FILTER API call.","Correct the metadata filter name parameter and reissue the API request."
ORA-39037,"Object type path not supported for string metadata filter.","An object type path was specified for the filter, but the filter does not support the object type path parameter.","Remove the object type path parameter."
ORA-39038,"Object path 'string' is not supported for string jobs.","The specified object type path is invalid for the job mode.","Correct the object type path."
ORA-39039,"Schema expression 'string' contains no valid schemas.","The specified SCHEMA_EXPR filter resulted in no schemas being selected.","Correct the the SCHEMA_EXPR filter specification."
ORA-39040,"Schema expression 'string' must identify exactly one schema.","For TABLE mode jobs, the SCHEMA_EXPR filter must identify exactly one schema.","Correct the the SCHEMA_EXPR filter specification."
ORA-39041,"Filter 'string' either identifies all object types or no object types.","A Metadata filter specifying path names either returned all objects or no objects in the job.","Correct the the metadata filter specification."
ORA-39042,"invalid transform name string","An invalid transform name was specified on a DBMS_ DATAPUMP.METADATA_TRANSFORM API call.","Correct the transform name parameter and reissue the API request."
ORA-39043,"Object type string is not supported for string.","The specified object type is invalid for the specified transform or remap.","Correct the object type."
ORA-39044,"Metadata transform string has already been specified.","The user has already specified the metadata transform for the same class of object types.","Specify a different object_type for the transform."
ORA-39045,"invalid metadata remap name string","An invalid metadata remap name was specified on a DBMS_ DATAPUMP.METADATA_REMAP API call.","Correct the metadata remap name parameter and reissue the API request."
ORA-39046,"Metadata remap string has already been specified.","The user has already specified a metadata remap that matches on the remap name and original value.","Specify a different original value."
ORA-39047,"Jobs of type string cannot use multiple execution streams.","The user specified a value of parallelism that is precluded by the operation type or mode of the job.","Specify only a parallelism of 1 for this type of job."
ORA-39048,"Unable to start all workers; only string worker(s) available.","The full degree of parallelism could not be honored due process limits, resource limits, or other internal errors.","Increase process/resource limits for the job."
ORA-39049,"invalid parameter name string","An invalid parameter name was specified on a DBMS_DATAPUMP.SET_ PARAMETER API call.","Correct the parameter name and reissue the API request."
ORA-39050,"parameter string is incompatible with parameter string","Two parameters were set that were incompatible with each other. Only the first parameter setting will be used.","Decide which parameter is to be used and stick to it."
ORA-39051,"parameter string specified multiple times","The user has already specified a parameter that matches on the name and the specific parameter doesn't support duplicate definitions.","Specify non-repeatable parameters only once."
ORA-39052,"cannot specify SKIP_CURRENT on initial start of a job.","The user has already specified SKIP_CURRENT for a job that has never executed.","Only specify SKIP_CURRENT when restarting a job."
ORA-39053,"parameter or attribute string must be defined for a string job","The job being defined cannot be started because it is missing the specified definition.","Specify the omitted parameter or attribute before starting the job."
ORA-39054,"missing or invalid definition of the SQL output file.","The job being defined cannot be started because it is missing the file to receive the SQL output of the job or the definition is unusable.","Specify a valid directory name and file name for the SQL file."
ORA-39055,"The string feature is not supported in version string.","The user attempted to use a feature that was not enabled in the database version specified for the current job. Typically, this error occurs if the compatibility level of the database is below the current version of the database or if the user explicitly specifies a version for a Data Pump job.","Specify the current database version as a version parameter for the the job."
ORA-39056,"invalid log file specification.","The log file for the job was incorrectly specified.","Specify a valid directory name and file name for the log file."
ORA-39057,"invalid worker request string for string jobs.","The worker process sent a message that wasn't supported for the current job.","Internal error -- contact Oracle Customer Support and report the error."
ORA-39058,"current object skipped: string of type string","The user specified SKIP_CURRENT when restarting a job. This message is a confirmation that the object will not be imported.","User must manually define the object in the target database."
ORA-39059,"dump file set is incomplete","An IMPORT or SQL_FILE operation was being performed but not all of the files from the EXPORT dump file set were included.","Check the export log file and make sure all of the files that were exported are included in the current job."
ORA-39060,"table(s) dropped because of conflict with master table","A table specified by a job was not included because its definition would collide with the master table definition for the current job.","After the job completes. Import the conflicting tables using a unique job name to avoid conflicts with normal user tables."
ORA-39061,"import mode string conflicts with export mode string","The mode used for import cannot be used with a dump file set of specified mode. Transportable jobs are not compatible with other modes.","Perform the import using a mode compatible with the export."
ORA-39062,"error creating master process string","An attempt to create the listed master process failed.","Refer to any following error messages for possible actions. Check the trace log for the failed process to see if there is any information about the failure. Correct the error, if possible, and try the operation again. If the error occurs again, contact Oracle Customer Support and report the error."
ORA-39064,"unable to write to the log file","Errors were detecting while writing to the log file. Subsequent messages will detail the problems.","Fix the problems outlined in the secondary messages."
ORA-39065,"unexpected master process exception in string","An unhandled exception was detected internally within the master control process for the Data Pump job. This is an internal error. messages will detail the problems.","If problem persists, contact Oracle Customer Support."
ORA-39067,"Unable to close the log file.","Errors were detecting while closing the log file. Subsequent messages will detail the problems.","Fix the problems outlined in the secondary messages."
ORA-39068,"invalid master table data in row with PROCESS_ORDER=string","A corruption was detected in the master table in the specified row(s). Either the row wasn't found, it was missing columns or had illegal values in its columns.","Rerun the job with an uncorrupted master table."
ORA-39070,"Unable to open the log file.","Errors were detecting while opening the log file. Subsequent messages will detail the problems.","Fix the problems outlined in the secondary messages."
ORA-39071,"Value for string is badly formed.","The value of the user specified filter did not contain a legitimate SQL clause. Subsequent messages will detail the problems.","Fix the problems outlined in the secondary messages."
ORA-39076,"cannot delete job string for user string","Unable to delete a job. Refer to the any following or prior error messages for clarification.","Eliminate the problems indicated."
ORA-39077,"unable to subscribe agent string to queue 'string'","The Data Pump's communication layer was unable to attach one of its processes to the control or status queue. Subsequent messages will detail the problem.","Fix the problem if possible, or contact Oracle Customer Support."
ORA-39078,"unable to dequeue message for agent string from queue 'string'","The Data Pump's communication layer was unable to retrieve a message from the control or status queue. Subsequent messages will detail the problem.","Fix the problem if possible, or contact Oracle Customer Support."
ORA-39079,"unable to enqueue message string","The Data Pump's communication layer was unable to send the specified message on the control or status queue. Subsequent messages will detail the problem.","Fix the problem if possible, or contact Oracle Customer Support."
ORA-39080,"failed to create queues 'string' and 'string' for Data Pump job","The Data Pump's communication layer was unable to create the status and control queues required for interprocess communication. Subsequent messages will detail the problem.","Fix the problem if possible, or contact Oracle Support."
ORA-39081,"failed to unsubscribe agent string from queue 'string'","The Data Pump's communication layer was unable to unsubscribe a process from the control or status queue. Subsequent messages will detail the problem.","Fix the problem if possible, or contact Oracle Customer Support."
ORA-39082,"Object type string created with compilation warnings","The object in the SQL statement following this error was created with compilation errors. If this error occurred for a view, it is possible that the base table of the view was missing.","This is a warning. The object may have to be recompiled before being used."
ORA-39083,"Object type string failed to create with error: string Failing sql is: string","Examine original error code to determine actual cause","Original error code will contain more information"
ORA-39084,"cannot detach job string for user string","Unable to detach a job from the session. Refer to any following error messages for clarification.","Eliminate the problems indicated."
ORA-39085,"cannot update job string for user string","Unable to update the fixed table information for a job. Refer to any following or prior error messages for clarification.","Eliminate the problems indicated."
ORA-39086,"cannot retrieve job information","Unable to retrieve fixed table information for a job. Refer to the secondary error messages that follow this one for clarification.","Eliminate the problems indicated by the secondary errors."
ORA-39087,"directory name string is invalid","A corresponding directory object does not exist.","Correct the directory object parameter, or create a corresponding directory object with the CREATE DIRECTORY command."
ORA-39088,"file name cannot contain a path specification","The name of a dump file, log file, or sql file contains a path specification.","Use the name of a directory object to indicate where the file should be stored."
ORA-39090,"Cannot add devices to file oriented job.","Attempt to add a device to a job that already contains more than one disk file.","Only specify one file for jobs that contain sequential devices."
ORA-39091,"unable to determine logical standby and streams status","An error occurred when determining if the Data Pump job needed to support logical standby or streams.","The subsequent message describes the error that was detected. Correct the specified problem and restart the job."
ORA-39092,"unable to set SCN metadata for object 'string.string' of type string","An error occurred when applying a SCN to the specified object to support logical standby or streams.","The subsequent message describes the error that was detected. Correct the specified problem and restart the job."
ORA-39093,"FLASHBACK automatically enabled to preserve database integrity.","A Data Pump job was required to enable flashback support to specific SCNs in order to preserve the consistency of a logical standby or streams instantiation.","None"
ORA-39094,"Parallel execution not supported in this database edition.","Parallel execution of Data Pump jobs is not supported for this database edition.","Specify a parallelism of 1 for jobs not running on Enterprise Edition databases."
ORA-39095,"Dump file space has been exhausted: Unable to allocate string bytes","The Export job ran out of dump file space before the job was completed.","Reattach to the job and add additional dump files to the job restarting the job."
ORA-39096,"invalid input value string for parameter string","A NULL or invalid value was supplied for the parameter.","Correct the input value and try the call again."
ORA-39097,"Data Pump job encountered unexpected error string","An unexpected, potentially non-fatal error occurred while processing a Data Pump job.","Contact Oracle Customer Support."
ORA-39098,"Worker process received data objects while loading metadata. Invalid process order range is string..string","This is an internal error. Messages will detail the problem.","If problem persists, contact Oracle Customer Support."
ORA-39099,"cannot create index for 'string' on master table string","One or more indexes couldn't be created on the master table. subsequent error messages describe the failure.","Correct the condition that is preventing the indexes from being created."
ORA-39102,"Timeout before master process string finished initialization. Master error:","The master process whose name is listed started up but did not finish its initialization within the allowed time limit.","Refer to any following error messages for possible actions. Also, check the trace log for the failed process, if one was created, to see if there is any additional information about the failure. Correct the error, if possible, and try the operation again. If the error occurs again, contact Oracle Customer Support and report the error."
ORA-39103,"Timeout before worker process string finished initialization. Worker error:","The worker process whose name is listed started up but did not finish its initialization within the allowed time limit.","Refer to any following error messages for possible actions. Also, check the trace log for the failed process, if one was created, to see if there is any additional information about the failure. Correct the error, if possible, and try the operation again. If the error occurs again, contact Oracle Customer Support and report the error."
ORA-39104,"cannot call this function from a SQL parallel query slave process","Called a Data Pump process model function from a process which is a SQL parallel query slave process","A SQL parallel query slave process cannot create a Data Pump master process. This is not supported. If this error occurs from a Data Pump client (for example, expdp or impdp), contact Oracle Customer Support and report the error."
ORA-39105,"Master process string failed during startup. Master error:","The master process whose name is listed failed during startup.","Refer to any following error messages for possible actions. Also, check the trace log for the failed process, if one was created, to see if there is any additional information about the failure. Correct the error, if possible, and try the operation again. If the error occurs again, contact Oracle Customer Support and report the error."
ORA-39106,"Worker process string failed during startup. Worker error:","The worker process whose name is listed failed during startup.","Refer to any following error messages for possible actions. Also, check the trace log for the failed process, if one was created, to see if there is any additional information about the failure. Correct the error, if possible, and try the operation again. If the error occurs again, contact Oracle Customer Support and report the error."
ORA-39107,"Master process string violated startup protocol. Master error:","The master process whose name is listed started up but then exited before notifying the creating process that it was finished with initialization.","Refer to any following error messages for possible actions. Also, check the trace log for the failed process, if one was created, to see if there is any additional information about the failure. Correct the error, if possible, and try the operation again. If the error occurs again, contact Oracle Customer Support and report the error."
ORA-39108,"Worker process string violated startup protocol. Worker error:","The worker process whose name is listed started up but then exited before notifying the creating process that it was finished with initialization.","Refer to any following error messages for possible actions. Also, check the trace log for the failed process, if one was created, to see if there is any additional information about the failure. Correct the error, if possible, and try the operation again. If the error occurs again, contact Oracle Customer Support and report the error."
ORA-39109,"Unprivileged users may not operate upon other users' schemas","An unprivileged user attempted to reference another user's schema during a Data Pump operation. Because of this, no schemas were were selected for the job.","Retry the operation under a username owning the schema."
ORA-39110,"error deleting worker processes","An attempt to delete the worker processes failed.","Refer to any following error messages for possible actions. Correct the error, if possible, and try the operation again. If the error occurs again, contact Oracle Customer Support and report the error."
ORA-39111,"Dependent object type string skipped, base object type string already exists","During a Data Pump import job, a dependent object is being skipped because its base object already existed.","If the object from the dump file is wanted, drop the base and dependent objects and try to import again using desired filters."
ORA-39112,"Dependent object type string skipped, base object type string creation failed","During a Data Pump import job, a dependent object is being skipped because its base object creation failed.","If the object from the dump file is wanted, drop the base and dependent objects and try to import again using desired filters"
ORA-39113,"Unable to determine database version","The Data Pump was unable to determine the compatibility level and version of the current database using SYS.DBMS_UTILITY.DB_VERSION.","Make sure access to the DBMS_UTILITY package is granted to you. If this is a network job, be sure that access to the DBMS_UTILITY package is granted to you on the remote instance."
ORA-39114,"Dump files are not supported for network jobs.","An attempt was made to add a dumpfile to an Import job that is using a network link to the source database.","Do not specify a dumpfile for jobs that do not require dumpfiles."
ORA-39115,"string is not supported over a network link","An attempt was made to use an option that is not supported over network links such as the PARTITION_LIST filter.","Do not attempt to use Data Pump features on network jobs if they are not compatible with jobs over the network."
ORA-39116,"invalid trigger operation on mutating table string.string","A Data Pump load operation failed because a trigger attempted to fire on the table while it was mutating.","Disable trigger(s) on the specified table. Also see ORA-004091."
ORA-39117,"Type needed to create table is not included in this operation. Failing sql is: string","A create table was attempted and a dependent type does not exist in the dumpfile or on the target database. Either the export or the import Data Pump job was a table mode job and types are not included in table mode jobs.","Determine which type(s) are missing and create them on the target system and run the Data Pump import job again."
ORA-39119,"worker process interrupt for delete worker processes call by master process","The master process that created this worker process called delete worker processes to abort the current operation.","No action is necessary. This is an informational error message."
ORA-39120,"Table string can't be truncated, data will be skipped. Failing error is: string","Table data was about to be loaded into a table that already existed and the table_exists_action parameter is truncate, but the table could not be truncated.","Determine actual cause by looking at base error."
ORA-39121,"Table string can't be replaced, data will be skipped. Failing error is: string","Table data was about to be loaded into a table that already existed and the table_exists_action parameter is replace, but the table could not be dropped.","Determine actual cause by looking at base error."
ORA-39122,"Unprivileged users may not perform string remappings.","A user attempted to remap objects during an import but lacked the IMPORT_FULL_DATABASE privilege.","Retry the job from a schema that owns the IMPORT_FULL_DATABASE privilege."
ORA-39123,"Data Pump transportable tablespace job aborted string","A DBMS_PLUGTS procedure failed and the Data Pump operation could not continue so it was aborted. The DBMS_PLUGTS failure listed describes the original error.","Look at the DBMS_PLUGTS error to determine actual cause."
ORA-39124,"dump file name 'string' contains an invalid substitution variable","The substitution variable '%' must be followed by '%','u', or 'U'.","Correct the substitution variable in the dump file name and re-enter the command."
ORA-39125,"Worker unexpected fatal error in string while calling string [string]","An unhandled exception was detected internally within the worker process for the Data Pump job while calling the specified external routine. This is an internal error. Additional information may be supplied.","If problem persists, contact Oracle Customer Support."
ORA-39126,"Worker unexpected fatal error in string [string] string","An unhandled exception was detected internally within the worker process for the Data Pump job. This is an internal error. Additional information may be supplied.","If problem persists, contact Oracle Customer Support."
ORA-39127,"unexpected error from call to string string","The exception was raised by the function invocation, a procedural action extension of export.","Record the accompanying messages and report this as a Data Pump internal error to customer support."
ORA-39128,"unexpected DbmsJava error number from statement string","The error was returned from a call to a DbmsJava procedure.","Record the accompanying messages and report this as a Data Pump internal error to customer support."
ORA-39129,"Object type string not imported. Name conflicts with the master table","The table being imported from the remote instance has the same name as the master table running this Data Pump job.","Rerun the Data Pump job with a nonconflicting name."
ORA-39130,"Object type string not imported. Base object name conflicts with the master table","The object being imported from the remote instance is dependent on an object that has the same name as the master table running this Data Pump job.","Rerun the Data Pump job with a nonconflicting name."
ORA-39132,"object type 'string'.'string' already exists with different hashcode","An object type could not be created because there was already a type with the same name but a different hashcode on the target system. Tables in the transportable tablespace set that use this object type cannot be read.","Drop the object type from the target system and retry the operation."
ORA-39133,"object type 'string'.'string' already exists with different typeid","An object type in a transportable tablespace set already exists on the target system, but with a different typeid. The typeid could not be changed because the type is used by an existing table. Tables in the transportable tablespace set that use this object type cannot be read.","Drop the object type from the target system and retry the operation."
ORA-39134,"Cannot include 'string' tablespace as a Transportable Tablespace","The user attempt to specify the SYSAUX or SYSTEM tablespace as a member of the transportable tablespace list in the current job. These tablespaces may not be transported between databases.","Specify different tablespaces to be transported."
ORA-39135,"File 'string' is already a member of this dump set","An attempt was made to add a new file to an export job but a file with the same name already exists in the dump set for the job.","Reenter the new file information using a different file name."
ORA-39136,"cannot specify an SCN on a transportable job","A target SCN was specified for a table in a transportable job by the streams or logical standy components which was not the defaulted SCN for the table.","This is an internal error. Please report it to Oracle support."
ORA-39137,"cannot specify a TABLE_EXISTS_ACTION of string for a job with no metadata","A job was defined with the TABLE_EXISTS_ACTION parameter set to REPLACE or SKIP, but without metadata. Without metadata, data could not be loaded for the requested table actions.","Change the setting of the TABLE_EXISTS_ACTION parameter to APPEND or TRUNCATE or supply Metadata with the data."
ORA-39138,"Insufficient privileges to load data not in your schema","An unprivileged user attempted to load data into a different schema.","Use a privileged account if you must load data not in your schema"
ORA-39139,"Data Pump does not support XMLType objects in version string. string will be skipped.","Object had an XMLType column using either an object relational or binary storage format, which is unsupported by Data Pump in the target version.","Use the original export and import utilities to move this object."
ORA-39140,"dump file 'string' belongs to job string","When a dump file set consists of multiple files, all files in the set must be specified for an import operation, and all files must have been produced by the same export job. One of the files provided does not belong to the original dump file set. For instance, it was created by a different export job than the other files.","Remove the dump file indicated in the message and retry the import operation providing only the complete set of dump files created by a specific export job."
ORA-39141,"dump file 'string' is a duplicate of dump file 'string'","When a dump file set consists of multiple files, all files in the set must be specified for an import operation. One of the files provided to import was found to be a duplicate of another dump file in the set. This can occur if the files in the dump set were copied or renamed using operating system utilities and the same dump file was inadvertently copied more than once with different destination names.","Remove the dump file indicated in the message and retry the import operation providing only the complete set of dump files created by a specific export job."
ORA-39142,"incompatible version number string in dump file 'string'","A dump file was specified for an import operation whose version number is incompatible with the dump file version of the Data Pump product currently running on the system. Usually this message indicates that the dump file was produced by a newer version of the Data Pump export utility.","Import this dump file using the Data Pump import utility with the same version as the export which created the file."
ORA-39143,"dump file 'string' may be an original export dump file","A dump file was specified for an import operation which appears to have been created using the original export utility. These dump files cannot be processed by the Data Pump import utility.","Try using the original import utility to process this dump file."
ORA-39144,"file name parameter must be specified and non-null","No file name was provided in an DBMS_DATAPUMP.ADD_FILE API call.","Correct the file name parameter and reissue the API request."
ORA-39145,"directory object parameter must be specified and non-null","No directory object was provided in either an DBMS_DATAPUMP.ADD_ FILE API call or to the directory parameter used by the Data Pump command line clients.","Correct the directory object parameter and retry the operation."
ORA-39146,"schema 'string' does not exist","The specified schema was referenced as the source of a REMAP_SCHEMA parameter, but did not exist in the dump file (for file-based import) or in the source database (for network import).","Specify the correct name of the schema to be remapped."
